id,partenza,arrivo,tappa1,distanza1,tappa2,distanza2,tappa3,distanza3,tappa4,distanza4,tappa5,distanza5,distanza_a_destinazione
554,Stazione San Rossore,Hotel Continental Tirrenia,Stazione Pisa Centrale,1.14,Pizzeria Colignola,4.57,,,,,,,19.15
555,Via San Ranieri 9,Ristorante Pizzeria Il Pellicano,Torre,2.86,Conad Metato,7.65,Carrefour Express Pisanova,8.98,Stazione Leopolda,1.53,,,1.25
556,Parcheggio Migliarino,Parcheggio di Cisanello,Universita di Pisa,12.81,,,,,,,,,1.53
557,Ristorante Tuscany 2,Hotel Galilei Pisa,Ristorante Da Stefano (Tirrenia),22.43,Conad Pian di Marco,15.7,Hotel Continental Tirrenia,15.68,MediaWorld Pisa,20.05,Parcheggio Migliarino,14.14,18.32
558,Via Montanelli 66,Ristorante Galileo,Parco San Rossore,2.66,MediaWorld Pisa,2.95,Conad Metato,10.01,Pizzeria Colignola,9.78,,,1.64
559,Via Gabriele Vettori 18,Via Angelo Battelli 5,Centro Commerciale Pisanova,1.86,,,,,,,,,1.84
560,Parcheggio Via Paparelli,Decathlon Pisa,MD Discount Riglione,7.48,Ristorante Da Stefano (Tirrenia),19.78,Via Angelo Battelli 5,20.38,McDonald's Pisa Aurelia,3.31,,,2.97
561,McDonald's Barbaricina,Via Gabriele Vettori 18,Supermercato Coop San Giusto,4.49,Decathlon Pisa,2.3,,,,,,,1.99
562,McDonald's Pisa Aurelia,Hotel San Ranieri,MediaWorld Pisa,3.15,Centro Commerciale Darsena (Tirrenia),19.32,,,,,,,22.08
563,Centro Commerciale Darsena (Tirrenia),Parcheggio Migliarino,Hotel Continental Tirrenia,2.52,Decathlon Pisa,18.97,Via Angelo Battelli 5,2.05,Ristorante Tuscany 2,2.66,,,14.86
564,Polo Fibonacci,Hotel Galilei Pisa,Parcheggio Migliarino,13.61,Conad Pian di Marco,15.6,MD Discount Riglione,5.66,Universita di Pisa,5.3,Via del Borghetto 102,0.34,5.72
565,Via San Ranieri 9,McDonald's Pisa Aurelia,Supermercato Coop Ghezzano,5.19,Hotel Galilei Pisa,11,Polo Fibonacci,5.3,Ristorante Il Lago (Nodica),5.18,,,8.72
566,MD Discount Riglione,Ipercoop Pisa,Hotel Continental Tirrenia,17.94,Via Montanelli 66,19.15,Stazione Leopolda,1.04,Ristorante La Greppia,1.43,,,1.98
567,Parco San Rossore,Ristorante Da Stefano (Tirrenia),Decathlon Pisa,3.16,Supermercato Coop Ghezzano,6.92,Piscina Comunale Camalich,12.18,,,,,15.56
568,Ristorante Galileo,Conad La Vettola,McDonald's Barbaricina,7.9,Stazione Pisa Centrale,4.99,Via del Borghetto 102,2.12,Conad Pian di Marco,3.73,Via Gabriele Vettori 18,3.44,6.54
569,Ristorante Pizzeria Il Pellicano,Conad La Vettola,Pizzeria Pisanova,1.58,,,,,,,,,8.33
570,Eurospin Ospedaletto,MD Discount Riglione,Supermercato Coop Ghezzano,12.65,Hotel Galilei Pisa,10.8,,,,,,,5.6
571,Via Aretino Spinello 11,McDonald's Barbaricina,Ristorante La Greppia,1.9,Parcheggio San Giuliano Terme,11.04,Via Montanelli 66,8.43,Supermercato Coop San Giusto,2.41,Carrefour Express Pisanova,2.78,6.93
572,Parcheggio di Cisanello,McDonald's Barbaricina,Via Montanelli 66,1.58,Hotel San Ranieri,2,Piscina Comunale Camalich,7.18,Centro Commerciale Darsena (Tirrenia),15.49,,,19.14
573,Ristorante Galileo,Facolta di Ingegneria Polo A,Via San Ranieri 9,0.9,Parcheggio Migliarino,15.15,,,,,,,12.65
574,Conad La Vettola,Via Aretino Spinello 11,Ristorante Il Mio Capriccio,7.92,Parcheggio Migliarino,16.49,Parcheggio Via Paparelli,11.26,Parcheggio Porto di Marina,19.29,Conad Pian di Marco,13.41,2.88
575,Ristorante Pizzeria Il Pellicano,Carrefour Express Pisanova,,,,,,,,,,,1.49
576,Parcheggio Migliarino,Via Angelo Battelli 5,Hotel Galilei Pisa,17.55,Decathlon Pisa,3.69,Stazione Leopolda,1.81,Parco San Rossore,1.52,,,2.02
577,Stazione San Rossore,Ristorante La Greppia,Via Montanelli 66,2.22,Ristorante Da Stefano (Tirrenia),19.72,,,,,,,19.42
578,Piscina Comunale Camalich,Via Cisanello 170,Polo Fibonacci,6.31,,,,,,,,,1.92
579,Ristorante Il Mio Capriccio,McDonald's Pisa Aurelia,Stazione Leopolda,1.79,Pizzeria Pisanova,2.06,Via Aretino Spinello 11,2.04,Conad La Vettola,5.83,,,5.49
580,Via Gabriele Vettori 18,MD Discount Riglione,Hotel San Ranieri,2.09,,,,,,,,,4.15
581,Supermercato Coop Ghezzano,Stazione Leopolda,Parcheggio di Cisanello,5.04,Ristorante Tuscany 2,0.64,Via San Ranieri 9,1.14,Decathlon Pisa,1.82,McDonald's Barbaricina,7.18,5.36
582,Via Gabriele Vettori 18,Hotel Continental Tirrenia,Stazione Pisa Centrale,1.69,Facolta di Ingegneria Polo A,2.02,,,,,,,20.77
583,Via Aretino Spinello 11,Ipercoop Pisa,,,,,,,,,,,2.71
584,OBI Pisa,Parcheggio di Cisanello,Torre,4.86,Carrefour Express Pisanova,2.88,Ristorante Pizzeria Il Pellicano,1.29,Hotel Continental Tirrenia,16.08,Conad La Vettola,12.86,8.4
585,Centro Commerciale Darsena (Tirrenia),Centro Commerciale Pisanova,,,,,,,,,,,20.85
586,Piscina Comunale Camalich,Euronics Pisa Cisanello,,,,,,,,,,,5.03
587,MD Discount Riglione,Parcheggio Via Paparelli,Via Aretino Spinello 11,5.89,Universita di Pisa,1.15,Piscina Comunale Camalich,7.18,McDonald's Barbaricina,6.24,,,6.97
588,Supermercato Coop Ghezzano,Pizzeria Pisanova,Conad Metato,3.45,,,,,,,,,8.51
589,OBI Pisa,Stazione Pisa Centrale,Centro Commerciale Darsena (Tirrenia),17.57,,,,,,,,,19.34
590,Via Gabriele Vettori 18,Hotel San Ranieri,,,,,,,,,,,2.34
591,Supermercato Coop San Giusto,Via Aretino Spinello 11,MediaWorld Pisa,2.88,Ristorante Il Lago (Nodica),6.83,Parcheggio Migliarino,9.96,Ristorante Il Mio Capriccio,16.52,Stazione Leopolda,1.85,0.61
592,Via Cisanello 170,Conad La Vettola,,,,,,,,,,,7.96
593,Conad La Vettola,Parcheggio di Cisanello,MediaWorld Pisa,8.4,Via Montanelli 66,1.32,Stazione Pisa Centrale,1.52,Farmacia Cisanello,3.35,Carrefour Express Pisanova,1.52,1.25
594,Ristorante Galileo,Stazione San Rossore,Piscina Comunale Camalich,6.42,Decathlon Pisa,5.01,,,,,,,2.53
595,Supermercato Coop Ghezzano,Esselunga Cisanello,Universita di Pisa,4.83,Lidl Pisa,2.56,Parco San Rossore,0.79,Stazione Leopolda,1.35,Ristorante Il Rustichello - San Piero,5.73,8.39
596,Universita di Pisa,Hotel Continental Tirrenia,Parcheggio Porto di Marina,17.59,,,,,,,,,3.99
597,Ristorante Pizzeria Il Pellicano,Piscina Comunale Camalich,Facolta di Ingegneria Polo A,2.53,Eurospin Ospedaletto,7.29,Farmacia Cisanello,8.79,Parcheggio Migliarino,13.52,Stazione Pisa Centrale,15.33,4.2
598,OBI Pisa,Via Montanelli 66,Via Aretino Spinello 11,3.32,,,,,,,,,0.85
599,Ristorante Il Rustichello - San Piero,Ristorante Da Stefano (Tirrenia),Euronics Pisa Cisanello,7.66,,,,,,,,,19.34
600,Stazione Pisa Centrale,McDonald's Barbaricina,Ristorante Il Lago (Nodica),7.11,Conad Pian di Marco,9.26,Parcheggio Via Paparelli,5.49,,,,,6.98
601,Ristorante Tuscany 2,Centro Commerciale Pisanova,Ristorante Pizzeria Il Pellicano,2.46,,,,,,,,,1.61
602,McDonald's Pisa Aurelia,Parcheggio San Giuliano Terme,,,,,,,,,,,11.2
603,Parcheggio San Giuliano Terme,Centro Commerciale Pisanova,Ristorante Da Stefano (Tirrenia),27.37,Parcheggio di Cisanello,22.09,Decathlon Pisa,1.87,Supermercato Coop San Giusto,2.52,,,3.15
604,Via San Ranieri 9,Supermercato Coop San Giusto,Parcheggio San Giuliano Terme,8.14,,,,,,,,,10.79
605,Esselunga Cisanello,Lidl Pisa,,,,,,,,,,,3.73
606,Parco San Rossore,Ristorante Tuscany 2,Polo Fibonacci,2.85,Centro Commerciale Darsena (Tirrenia),20.69,,,,,,,20.89
607,Universita di Pisa,Centro Commerciale Pisanova,Ristorante Il Rustichello - San Piero,6.79,Euronics Pisa Cisanello,7.13,Esselunga Cisanello,0.94,Ristorante Il Lago (Nodica),7.18,,,7.44
608,Conad La Vettola,MediaWorld Pisa,Parcheggio Migliarino,12.13,Pizzeria Colignola,15.83,Carrefour Express Pisanova,2.45,Via del Borghetto 102,1.79,,,2.17
609,Euronics Pisa Cisanello,Via San Ranieri 9,OBI Pisa,4.51,Ristorante Il Mio Capriccio,3.64,Via Gabriele Vettori 18,2.15,Pizzeria Colignola,3.37,,,2.03
610,Ristorante Da Stefano (Tirrenia),MediaWorld Pisa,Carrefour Express Pisanova,20.36,Ristorante Il Mio Capriccio,0.91,Via San Ranieri 9,2.28,,,,,1.56
611,Hotel San Ranieri,Centro Commerciale Darsena (Tirrenia),Conad La Vettola,8.62,Via Aretino Spinello 11,5.98,Via Montanelli 66,0.88,Parcheggio di Cisanello,1.67,Ipercoop Pisa,1.81,22.19
612,Hotel Continental Tirrenia,MediaWorld Pisa,,,,,,,,,,,20.46
613,Via Gabriele Vettori 18,Eurospin Ospedaletto,Stazione San Rossore,2.29,Pizzeria Colignola,5.49,Hotel San Ranieri,1.59,Via Montanelli 66,2,Pizzeria Pisanova,1,6.92
614,Ristorante Il Lago (Nodica),Via San Ranieri 9,Stazione San Rossore,7.13,Ristorante Galileo,3.61,Piscina Comunale Camalich,5.63,Conad La Vettola,5.7,Parcheggio San Giuliano Terme,11.92,7.71
615,Farmacia Cisanello,Ristorante Tuscany 2,Hotel Continental Tirrenia,21.02,Conad Pian di Marco,14.59,Centro Commerciale Darsena (Tirrenia),17.84,OBI Pisa,16.92,Ristorante La Greppia,2.32,3.12
616,Ristorante La Greppia,OBI Pisa,Ristorante Da Stefano (Tirrenia),17.38,Ristorante Il Mio Capriccio,19.65,Conad Pian di Marco,3.09,Via San Ranieri 9,4.76,,,4.9
617,Conad Pian di Marco,Pizzeria Pisanova,Parcheggio Porto di Marina,12.21,Ristorante Pizzeria Il Pellicano,14.45,Via Gabriele Vettori 18,1.99,Hotel San Ranieri,2.04,,,1.21
618,Ristorante Da Stefano (Tirrenia),Ipercoop Pisa,Via San Ranieri 9,22.89,Centro Commerciale Pisanova,1.24,,,,,,,1
619,Decathlon Pisa,Stazione Leopolda,Supermercato Coop Ghezzano,6.35,,,,,,,,,5.91
620,Hotel Continental Tirrenia,Centro Commerciale Darsena (Tirrenia),Ristorante Da Stefano (Tirrenia),1.17,Parcheggio Migliarino,27.06,,,,,,,30.58
621,Conad Metato,Stazione Pisa Centrale,McDonald's Pisa Aurelia,12.33,Supermercato Coop San Giusto,0.9,MD Discount Riglione,5.25,Via del Borghetto 102,5.81,Facolta di Ingegneria Polo A,0.31,2.11
622,Euronics Pisa Cisanello,Facolta di Ingegneria Polo A,,,,,,,,,,,2.13
623,Eurospin Ospedaletto,Hotel Continental Tirrenia,Parcheggio Migliarino,19.37,Farmacia Cisanello,14.33,,,,,,,19.18
624,Via Gabriele Vettori 18,Ristorante Pizzeria Il Pellicano,,,,,,,,,,,2.03
625,Via San Ranieri 9,Ristorante Galileo,,,,,,,,,,,0.89
626,MD Discount Riglione,Via Angelo Battelli 5,Via San Ranieri 9,4.82,Conad La Vettola,8.2,Ristorante Il Mio Capriccio,7.98,,,,,2.23
627,Ristorante Pizzeria Il Pellicano,Universita di Pisa,,,,,,,,,,,2.63
628,Esselunga Cisanello,Conad Metato,Farmacia Cisanello,0.52,Supermercato Coop San Giusto,4.21,Ristorante Galileo,3.25,Parco San Rossore,3.95,Ristorante Il Rustichello - San Piero,3.52,12.69
629,Via Angelo Battelli 5,Ristorante Il Mio Capriccio,Parco San Rossore,2.35,,,,,,,,,2.63
630,Centro Commerciale Pisanova,Ristorante Galileo,Stazione San Rossore,2.92,Universita di Pisa,2.97,Via Gabriele Vettori 18,0.57,Conad La Vettola,7.31,Ristorante Da Stefano (Tirrenia),15.26,20.31
631,Via San Ranieri 9,Decathlon Pisa,,,,,,,,,,,2.04
632,Ristorante La Greppia,Ipercoop Pisa,Lidl Pisa,1.97,Euronics Pisa Cisanello,3.2,,,,,,,0.42
633,Stazione Pisa Centrale,OBI Pisa,Ristorante Tuscany 2,3.02,Conad Pian di Marco,4.88,,,,,,,0.69
634,Via Aretino Spinello 11,Conad Metato,MD Discount Riglione,6.25,McDonald's Barbaricina,10.41,Conad Pian di Marco,5.1,,,,,11.88
635,Ristorante Tuscany 2,Supermercato Coop San Giusto,MediaWorld Pisa,1.08,Ristorante La Greppia,1.82,McDonald's Pisa Aurelia,1.45,,,,,0.8
636,Parcheggio Porto di Marina,Carrefour Express Pisanova,Conad Metato,24,Centro Commerciale Darsena (Tirrenia),27.45,McDonald's Barbaricina,18.72,,,,,6.39
637,Polo Fibonacci,Parcheggio Via Paparelli,Carrefour Express Pisanova,1.71,,,,,,,,,3.44
638,OBI Pisa,Ristorante Galileo,Stazione San Rossore,2.11,Hotel Continental Tirrenia,17.81,,,,,,,20.63
639,Via del Borghetto 102,Ristorante Il Rustichello - San Piero,Ristorante Galileo,2.28,,,,,,,,,7.83
640,MD Discount Riglione,Parcheggio Via Paparelli,McDonald's Pisa Aurelia,5.53,,,,,,,,,5.3
641,Facolta di Ingegneria Polo A,Euronics Pisa Cisanello,Via Angelo Battelli 5,0.61,,,,,,,,,2.33
642,Torre,Via Angelo Battelli 5,,,,,,,,,,,1.29
643,Conad Metato,Hotel Galilei Pisa,,,,,,,,,,,12.7
644,Conad Pian di Marco,Via Gabriele Vettori 18,,,,,,,,,,,3.38
645,Eurospin Ospedaletto,Farmacia Cisanello,Centro Commerciale Pisanova,6.72,Parco San Rossore,3.32,Parcheggio Porto di Marina,13.17,,,,,17.7
646,Pizzeria Pisanova,McDonald's Barbaricina,Decathlon Pisa,0.79,Parcheggio Migliarino,15.31,,,,,,,11.64
647,Supermercato Coop Ghezzano,Pizzeria Pisanova,Ristorante Il Rustichello - San Piero,11.87,Ristorante Da Stefano (Tirrenia),13.91,,,,,,,20.04
648,McDonald's Pisa Aurelia,Conad La Vettola,Euronics Pisa Cisanello,3.2,Pizzeria Colignola,1.82,Stazione Pisa Centrale,4.51,Decathlon Pisa,1.69,Parcheggio Porto di Marina,16.15,10.64
649,Ristorante Il Mio Capriccio,Ristorante Galileo,Parcheggio Migliarino,14.89,Supermercato Coop Ghezzano,10.95,Carrefour Express Pisanova,6.24,Conad Pian di Marco,3.18,,,3.84
650,Via San Ranieri 9,Facolta di Ingegneria Polo A,Parcheggio Porto di Marina,16.48,MD Discount Riglione,15.9,MediaWorld Pisa,3.87,,,,,1.95
651,McDonald's Barbaricina,MD Discount Riglione,Centro Commerciale Pisanova,7.17,Ristorante Il Mio Capriccio,0.95,Conad Metato,10.57,Stazione Leopolda,9.3,,,5.43
652,Euronics Pisa Cisanello,Ristorante Il Rustichello - San Piero,Supermercato Coop San Giusto,3.19,,,,,,,,,3.95
653,Pizzeria Colignola,Polo Fibonacci,Farmacia Cisanello,1.49,Facolta di Ingegneria Polo A,1.99,,,,,,,0.27
654,Centro Commerciale Pisanova,Hotel Continental Tirrenia,Eurospin Ospedaletto,6.36,Via Gabriele Vettori 18,7.63,Via San Ranieri 9,1.64,,,,,19.29
655,Pizzeria Colignola,Ipercoop Pisa,Supermercato Coop San Giusto,4.67,Ristorante La Greppia,0.86,Centro Commerciale Pisanova,2.24,Farmacia Cisanello,1.24,Esselunga Cisanello,0.49,1.55
656,Ristorante Tuscany 2,Parcheggio di Cisanello,Farmacia Cisanello,0.65,Ristorante La Greppia,3.29,Parcheggio Via Paparelli,4.99,Torre,2.28,,,3.44
657,Esselunga Cisanello,Via del Borghetto 102,MediaWorld Pisa,1.15,Eurospin Ospedaletto,6.28,Ristorante Da Stefano (Tirrenia),13.92,,,,,21.26
658,Facolta di Ingegneria Polo A,McDonald's Pisa Aurelia,,,,,,,,,,,3.29
659,Via Aretino Spinello 11,Hotel Galilei Pisa,Decathlon Pisa,2.11,MediaWorld Pisa,0.3,,,,,,,4.41
660,Hotel Continental Tirrenia,Ristorante Da Stefano (Tirrenia),Centro Commerciale Pisanova,19.56,Stazione Pisa Centrale,1.99,,,,,,,19.36
661,Ristorante Galileo,Via del Borghetto 102,,,,,,,,,,,1.98
662,Conad La Vettola,Ristorante Il Rustichello - San Piero,MediaWorld Pisa,8.23,Facolta di Ingegneria Polo A,2.12,Pizzeria Pisanova,1.6,,,,,6.28
663,Conad Pian di Marco,Carrefour Express Pisanova,Stazione Pisa Centrale,1.7,Hotel San Ranieri,3.07,Ristorante Il Lago (Nodica),6.62,Ristorante Il Rustichello - San Piero,11.43,McDonald's Pisa Aurelia,3.74,3.04
664,Via Gabriele Vettori 18,OBI Pisa,Supermercato Coop Ghezzano,5.11,Via Cisanello 170,5.08,Carrefour Express Pisanova,0.96,,,,,4.38
665,Pizzeria Colignola,Parcheggio Migliarino,Carrefour Express Pisanova,2.65,Centro Commerciale Pisanova,0.39,Via San Ranieri 9,1.15,,,,,13.2
666,Hotel San Ranieri,Ristorante Galileo,Parco San Rossore,4.1,Eurospin Ospedaletto,5.25,Parcheggio Porto di Marina,10.35,Ristorante Il Rustichello - San Piero,10.1,Stazione Leopolda,5.22,2.19
667,Lidl Pisa,Hotel San Ranieri,,,,,,,,,,,3.44
668,Esselunga Cisanello,Supermercato Coop San Giusto,,,,,,,,,,,3.72
669,Hotel Galilei Pisa,Parco San Rossore,Stazione San Rossore,3.58,,,,,,,,,0.31
670,Via Aretino Spinello 11,Farmacia Cisanello,Hotel Galilei Pisa,4.09,Torre,5.82,Hotel San Ranieri,3.62,Carrefour Express Pisanova,1.52,Lidl Pisa,2.3,4.08
671,Euronics Pisa Cisanello,Ristorante Pizzeria Il Pellicano,Parcheggio Porto di Marina,17.94,,,,,,,,,15.76
672,Lidl Pisa,Hotel Galilei Pisa,Parcheggio Via Paparelli,4.09,Decathlon Pisa,3.82,,,,,,,4.13
673,Ristorante Da Stefano (Tirrenia),McDonald's Pisa Aurelia,,,,,,,,,,,17.94
674,Supermercato Coop Ghezzano,Parcheggio Via Paparelli,Eurospin Ospedaletto,13.28,Ristorante La Greppia,4.78,Parco San Rossore,1.79,Via del Borghetto 102,3.18,Hotel Galilei Pisa,5.88,7.12
675,Lidl Pisa,Stazione Leopolda,Parcheggio Porto di Marina,14.65,Via Angelo Battelli 5,17.34,Hotel Continental Tirrenia,19.36,Via San Ranieri 9,21.07,,,2.49
676,Supermercato Coop San Giusto,Parcheggio Porto di Marina,Via Aretino Spinello 11,1.8,Farmacia Cisanello,2.56,,,,,,,18.06
677,Euronics Pisa Cisanello,MD Discount Riglione,,,,,,,,,,,3.29
678,Ristorante La Greppia,Eurospin Ospedaletto,Parcheggio San Giuliano Terme,10.48,Stazione Pisa Centrale,10.8,Ristorante Galileo,2.55,OBI Pisa,5.12,Polo Fibonacci,4.26,7.15
679,Supermercato Coop Ghezzano,Parcheggio San Giuliano Terme,MD Discount Riglione,8.6,Decathlon Pisa,3.79,Hotel San Ranieri,2.07,Parcheggio Migliarino,13.49,,,9.58
680,Parcheggio Porto di Marina,Hotel Galilei Pisa,Lidl Pisa,15.24,Polo Fibonacci,2.08,Ristorante Il Lago (Nodica),5.89,Hotel Continental Tirrenia,25.37,Via Cisanello 170,21.61,4.99
681,Ristorante Galileo,Ristorante Pizzeria Il Pellicano,,,,,,,,,,,1.98
682,Decathlon Pisa,Via Montanelli 66,,,,,,,,,,,1.23
683,Via Gabriele Vettori 18,Ristorante Il Mio Capriccio,,,,,,,,,,,2.23
684,Supermercato Coop Ghezzano,Hotel Galilei Pisa,,,,,,,,,,,10.18
685,Euronics Pisa Cisanello,Supermercato Coop San Giusto,Carrefour Express Pisanova,0.85,Stazione Leopolda,1.62,,,,,,,1.27
686,Torre,Ipercoop Pisa,Supermercato Coop Ghezzano,5.17,Stazione San Rossore,7.57,,,,,,,3.35
687,Stazione Pisa Centrale,MD Discount Riglione,,,,,,,,,,,5.02
688,Pizzeria Pisanova,Hotel Continental Tirrenia,Ristorante Galileo,0.4,,,,,,,,,18.06
689,Parcheggio Migliarino,Supermercato Coop Ghezzano,McDonald's Barbaricina,10.85,Polo Fibonacci,6.23,Ristorante Tuscany 2,2.34,Conad Metato,9.99,,,3.33
690,Parcheggio Via Paparelli,Ristorante Tuscany 2,MD Discount Riglione,6.63,Universita di Pisa,5.76,,,,,,,2.06
691,Stazione Leopolda,Universita di Pisa,,,,,,,,,,,1.72
692,Facolta di Ingegneria Polo A,Via Cisanello 170,Parcheggio Migliarino,12.28,McDonald's Pisa Aurelia,15.52,Ristorante Galileo,3.84,,,,,0.55
693,Decathlon Pisa,McDonald's Pisa Aurelia,Stazione Pisa Centrale,1.61,Parcheggio Porto di Marina,15.15,,,,,,,14.77
694,Eurospin Ospedaletto,Ristorante Il Lago (Nodica),Via Angelo Battelli 5,6.43,Lidl Pisa,1.4,Decathlon Pisa,2.74,,,,,7.1
695,Stazione Pisa Centrale,Via Angelo Battelli 5,Ristorante Il Mio Capriccio,1.47,Hotel San Ranieri,2.1,Decathlon Pisa,1.91,,,,,2.01
696,Ristorante Il Lago (Nodica),Centro Commerciale Darsena (Tirrenia),,,,,,,,,,,27.4
697,Via Montanelli 66,Via Gabriele Vettori 18,McDonald's Barbaricina,6.65,Parcheggio Porto di Marina,11.88,Parco San Rossore,14.1,Universita di Pisa,3.03,Ristorante Il Rustichello - San Piero,6.27,6.05
698,Via del Borghetto 102,Ristorante Da Stefano (Tirrenia),Parcheggio Migliarino,13.88,Carrefour Express Pisanova,15.45,Ristorante Pizzeria Il Pellicano,1.4,MediaWorld Pisa,1.19,,,20.56
699,Stazione San Rossore,Parcheggio San Giuliano Terme,Stazione Pisa Centrale,0.97,Hotel Galilei Pisa,3.01,Pizzeria Colignola,6.73,Supermercato Coop Ghezzano,6.42,,,2.83
700,MD Discount Riglione,Parcheggio Migliarino,Facolta di Ingegneria Polo A,5.94,Stazione Pisa Centrale,1.96,Pizzeria Pisanova,2.21,Supermercato Coop Ghezzano,6.14,Torre,4.67,11.85
701,Ristorante Galileo,Lidl Pisa,Parcheggio di Cisanello,0.66,Via Cisanello 170,0.14,Euronics Pisa Cisanello,1.13,Farmacia Cisanello,1.54,,,3.66
702,Conad Pian di Marco,Supermercato Coop Ghezzano,Parcheggio Migliarino,14.16,Ristorante La Greppia,15.43,Parcheggio Via Paparelli,5.17,Ristorante Tuscany 2,3.22,,,5.95
703,Farmacia Cisanello,Carrefour Express Pisanova,Parcheggio San Giuliano Terme,8.03,Universita di Pisa,7.03,Euronics Pisa Cisanello,2.21,Lidl Pisa,3.27,MediaWorld Pisa,2.54,0.57
704,Parcheggio Via Paparelli,Via Angelo Battelli 5,Via Aretino Spinello 11,3.19,,,,,,,,,0.36
705,Conad La Vettola,McDonald's Pisa Aurelia,Ristorante Il Rustichello - San Piero,2.91,Conad Metato,14.51,Conad Pian di Marco,12.2,,,,,0.26
706,Supermercato Coop Ghezzano,Via Gabriele Vettori 18,Decathlon Pisa,6.83,Ristorante Il Mio Capriccio,0.26,Stazione Leopolda,1.81,,,,,1.12
707,Parcheggio di Cisanello,Parcheggio Migliarino,Conad Metato,8.63,Ristorante Pizzeria Il Pellicano,11.27,Piscina Comunale Camalich,4,,,,,16.62
708,Facolta di Ingegneria Polo A,Stazione Pisa Centrale,,,,,,,,,,,1.94
709,Parcheggio San Giuliano Terme,Stazione San Rossore,Lidl Pisa,9.01,Stazione Pisa Centrale,1.11,,,,,,,0.99
710,Parcheggio Migliarino,MediaWorld Pisa,Ristorante Pizzeria Il Pellicano,15.25,,,,,,,,,1.18
711,Parcheggio Porto di Marina,Via Aretino Spinello 11,Via del Borghetto 102,16.9,Facolta di Ingegneria Polo A,0.31,Pizzeria Pisanova,1.63,Eurospin Ospedaletto,7,,,6.82
712,Stazione San Rossore,Ristorante Il Rustichello - San Piero,Piscina Comunale Camalich,4.26,Ristorante Il Mio Capriccio,5.15,Via Gabriele Vettori 18,2.16,Torre,1.24,,,6.19
713,Decathlon Pisa,Stazione Pisa Centrale,Pizzeria Pisanova,0.83,Farmacia Cisanello,1.18,Parcheggio Porto di Marina,17.88,,,,,13.98
714,Via Montanelli 66,Via Aretino Spinello 11,Eurospin Ospedaletto,6.87,Polo Fibonacci,7.69,Piscina Comunale Camalich,6.39,Supermercato Coop San Giusto,3.99,MD Discount Riglione,5.55,6.26
715,Euronics Pisa Cisanello,Centro Commerciale Darsena (Tirrenia),Carrefour Express Pisanova,0.84,Via del Borghetto 102,1.91,Ipercoop Pisa,2.91,Ristorante Tuscany 2,1.28,,,21.95
716,Supermercato Coop San Giusto,Centro Commerciale Pisanova,,,,,,,,,,,2.66
717,Stazione Pisa Centrale,Lidl Pisa,Conad Pian di Marco,1.8,,,,,,,,,2.13
718,Ristorante Galileo,Eurospin Ospedaletto,,,,,,,,,,,7.3
719,Via del Borghetto 102,Via Aretino Spinello 11,Pizzeria Pisanova,2.16,Conad Pian di Marco,4.02,,,,,,,2.61
720,Via Aretino Spinello 11,Via Angelo Battelli 5,Eurospin Ospedaletto,6.17,Conad Metato,15.51,Pizzeria Colignola,10.25,Parcheggio Porto di Marina,19.77,MD Discount Riglione,19.3,5.48
721,Facolta di Ingegneria Polo A,Hotel Continental Tirrenia,McDonald's Pisa Aurelia,3.38,Universita di Pisa,4.26,Stazione Pisa Centrale,2.26,Carrefour Express Pisanova,1.69,,,18.93
722,Ristorante Tuscany 2,Centro Commerciale Pisanova,Torre,3.57,McDonald's Pisa Aurelia,3.99,Ristorante Il Rustichello - San Piero,3.66,,,,,6.9
723,Parcheggio Via Paparelli,Hotel Continental Tirrenia,MD Discount Riglione,7.29,Supermercato Coop Ghezzano,9.03,,,,,,,25.88
724,Hotel Continental Tirrenia,Parcheggio Via Paparelli,Via San Ranieri 9,20.17,Ristorante Tuscany 2,1.03,Ristorante Galileo,0.56,,,,,2.9
725,Decathlon Pisa,Hotel Continental Tirrenia,Conad Pian di Marco,2.94,Eurospin Ospedaletto,3.86,Hotel Galilei Pisa,2.16,Euronics Pisa Cisanello,4.87,Pizzeria Pisanova,0.64,19.44
726,Parco San Rossore,MediaWorld Pisa,Via Aretino Spinello 11,1.76,Parcheggio di Cisanello,2.56,Hotel Galilei Pisa,5.86,,,,,4.53
